rht-business |192.168.0.112 |2023-07-12 10:28:00.716 |  INFO | main | org.springframework.integration.monitor.IntegrationMBeanExporter : 791 | Registering MessageHandler errorLogger
rht-business |192.168.0.112 |2023-07-12 10:28:00.734 |  INFO | main | org.springframework.integration.endpoint.EventDrivenConsumer : 107 | Adding {logging-channel-adapter:_org.springframework.integration.errorLogger} as a subscriber to the 'errorChannel' channel
rht-business |192.168.0.112 |2023-07-12 10:28:00.734 |  INFO | main | org.springframework.integration.channel.AbstractSubscribableChannel : 64 | Channel 'rht-business-1.errorChannel' has 1 subscriber(s).
rht-business |192.168.0.112 |2023-07-12 10:28:00.734 |  INFO | main | org.springframework.integration.endpoint.AbstractEndpoint : 159 | started bean '_org.springframework.integration.errorLogger'
rht-business |192.168.0.112 |2023-07-12 10:28:00.736 |  INFO | main | springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper : 160 | Context refreshed
rht-business |192.168.0.112 |2023-07-12 10:28:00.747 |  INFO | main | springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper : 163 | Found 1 custom documentation plugin(s)
rht-business |192.168.0.112 |2023-07-12 10:28:00.762 |  INFO | main | springfox.documentation.spring.web.scanners.ApiListingReferenceScanner : 41 | Scanning for api listing references
rht-business |192.168.0.112 |2023-07-12 10:28:00.831 |  INFO | main | springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator : 40 | Generating unique operation named: invoiceDetailUsingPOST_1
rht-business |192.168.0.112 |2023-07-12 10:28:00.862 |  INFO | main | org.eclipse.jetty.server.handler.ContextHandler$Context : 2223 | Initializing Spring DispatcherServlet 'dispatcherServlet'
rht-business |192.168.0.112 |2023-07-12 10:28:00.862 |  INFO | main | org.springframework.web.servlet.FrameworkServlet : 525 | Initializing Servlet 'dispatcherServlet'
rht-business |192.168.0.112 |2023-07-12 10:28:00.867 |  INFO | main | org.springframework.web.servlet.FrameworkServlet : 547 | Completed initialization in 5 ms
rht-business |192.168.0.112 |2023-07-12 10:28:00.873 |  INFO | main | org.eclipse.jetty.server.AbstractConnector : 330 | Started ServerConnector@23e9dd78{HTTP/1.1,[http/1.1]}{0.0.0.0:8055}
